index,name,weight,label
143,NAVARA RICE,,
144,MANI SAMBA RICE,,
145,KOTHUMALLI RICE,,
146,RAKTHASAALI RICE,,
147,CORRIANDER POWDER,100GM,MALLI
148,CORRIANDER POWDER,250GM,MALLI
149,KASHMIR CHILLI POWDER,100GM,
150,BLACK PEPPER POWDER,100GM,KARUMILAGU
151,BLACK PEPPER POWDER,50GM,KARUMILAGU
152,WHITE PEPPER POWDER,50GM,VELLAI MILAGU
153,CUMIN POWDER,50GM,SEEARAGAM
154,CUMIN POWDER,100GM,SEEARAGAM
155,SAMBAR  POWDER,150 GM,
156,CURRY MASALA,100GM,
157,GARAM MASALA,100GM,
158,FENU GREEK POWDER,100GM,VENDHAIYA
159,RASA PODI,,
160,CHILLI POWDER,100GM,MILAGAI
161,BISMI HEALTH MIX,,
162,YELLOW RAISIN,,
163,ALMOND,,
164,BLACK RAISIN SEED,,
165,BADAM PISIN,,
166,ROCK CANDY,,
167,DATE SYRUP,,
168,FRIED CHILLI CASHEW,,
169,ROSE GULKAND,,
170,CALIFORNIA WALNUTS,,
171,BREAKFAST MIX,,
172,PITTED PRUNED,,DRIED PLUMS
173,BLACK RAISINS,,SEEDLESS
174,ROASTED & SALTED PISTACHIOS,,
175,DIVINE ROASTED ALMOND,,
176,ROASTED & SALTED CALIFORNIAN ALMONDS,,
177,DRY STRAWBERRY,,
178,DRIED BLUEBERRIES,,WHOLE
179,CALIFORNIA PIDTACHIOS,,
180,RAGI MALT,,
181,CARROT MALT,,
182,NENDRAN BANANA MALT,,
183,BEETROOT MALT,,
184,FLAX SEEDS,,
185,CHIA SEEDS,,
186,FLAX SEEDS,,ROASTED
187,SUNFLOWER SEEDS,,
188,MUSKMELON SEEDS,,
189,PUMPKIN SEEDS,,
190,CUCUMBER SEEDS,,
191,SABJA SEEDS,,
192,SEED MIX,,
193,SESAME SEEDS,,
194,GARLIC SOUP,,POONDU
195,SYZYGIUM CUMINI NUT SOUP,,NAAVAL KAAI VIDHAI
196,SOLANUM NIGRUM SOUP,,MANATHAKKALI
197,AMLA SOUP,,NELLIKAI
198,FICUS GLOMERATA FRUIT SOUP,,ATTHIPALAM
199,CYNODON DACIYLON  SOUP,,ARUGAMPUL
200,HIBISCUS SOUP,,SEMBARUTHI
201,ALTEM ANTHERA TRAINDRA,,PAASALAI
202,HIBISCUS SOUP,,SEMBARUTHI
203,HORSE GRAM SOUP,,KOLLU
204,MORINGA LEAF SOUP,,MURUNGAI KEERAI
205,BRAHMI SOUP,,VALLARAI
206,MUSA PARADISIACA SOUP,,VAALAI
207,CASSIA AURICULATA SOUP,,AAVARAM POO
208,CARDIO SPERMUM HALICACABUM SOUP,,MUDAKATHAAN
209,SOLANUMTRILOBATUM SOUP,,THUTHIKAI
210,CURRY LEAF SOUP,,KARUVEPPILAI
211,BRAHMI POWDER,,VALLARAI PODI
212,PEARL MILLET MURUKKU,,KAMBU
213,FINGER MILLET RIBBON PAKODA,,KELVARAGU
214,FOXTAIL MILLET KUZHAL MURUKKU,,THINAI
215,PEARL MILLET PEPPER KARASEV,,KAMBU MILAGU
216,LITTLE MILLET COOKIES,,SAAMAI
217,BARNYARD MILLET COOOKIES,,KUTHIRAIVAALI
218,KODO MILLET COOKIES,,VARAGU
219,PEARL MILLET  COOKIES,,KAMBU
220,MULTI MILLET COOKIES,,SIRUTHANIYAM
221,FINGER MILLET COOKIES,,KELVARAGU
222,RUSKONA,,
223,COCONUT BARFI,,THENGAI
224,GROUNDNUT  KOVA,,KADALAI
225,SESEME BALLS,,ELLU URUNDAI
226,GROUNDNUT BALLS,,KADALAI URUNDAI
227,FOXTAIL MILLET LADDO,,THINAI
228,PEARL MILLET LADDO,,KAMBU
229,GREEN GRAM LADDO,,PACHAI PAYIRU
230,KARUPPUKAVUNI LADDO,,
231,LITTLE MILLET LADDO,,SAAMAI
232,KARUPPUKAVUNI LADDO,,
233,GROUNDNUT  KOVA,,NILAKADALAI
234,LITTLE MILLET LADDO,,SAAMAI
235,GREEN GRAM LADDO,,PACHA PAYIRU
236,GROUNDNUT  BALLS,,NILAKADALAI
237,PEARL MILLET LADDO,,KAMBU
238,FOXTAIL MILLET LADDO,,THINAI
239,COCONUT POP,,THENGAI
240,ALMOND POP,,BADAM
241,MILLALA INDIAN SPICES,,
242,PEANUT POP,,KADALAI
243,MILLALA CHEESE & MINT,,PUDINA
244,MILLALA INDIAN TOMATO,,THAKKALI
245,MILLET BYTES TANGY TOMATO,,KAARA THAKKALI
246,MILLET BYTES ALMOND CRUNCH,,BADAM
247,MILLET BYTES COCONUT CRISPY,,THENGAI
248,MILLET BYTES VANILLA FILLS,,
249,MILLET BYTES CHOCO FILLS,,
250,MILLET BYTES STRAWBERRY FILLS,,
251,ELANTHAVADAI,,90'S KID SPECIAL
252,ELANTHAVADAI SWEET,,
253,KO VIBOOTHI,100GM,
254,ALBIZIA AMARA POWDER,,GREEN ARAPPU
255,BLACK DAMMER POWDER,,KARUPPU KUNGLIYAM
256,NEEM COMB,,VEPPAN SEEPU
257,BAMBOO TOOTHBRUSH,,MOONGIL
258,KUNKUMADI OIL,100ML,
259,WILD TURMERIC,,KASTHURIMANJAL
260,HERBAL SHAMPOO,100ML,
261,BOOTHIKAI PODI,,
262,LAUNDRY BAR,,WASHING SOAP
263,VETIVER BATH SCRUBBER,,
264,FALSE DAISY POWDER,,KARISALANGKANNI
265,SNANA POWDER,,
266,NATURAL HERBAL BATH SOAP,,
267,ALOEVERA GEL,,KATRAALAI
268,CUCUMBER ALOEVERA GEL,,
269,ROSEWATER,115ML,PANEER
270,ROYAL UBTAN FACEPACK,,
271,ALOEVERA GEL,,KATRAALAI
272,LIP BALM,,
273,THIRIPALA SOAP,,
274,POMEGRANATE SOAP,,MAADHULAI
275,KUMKUMADI OIL,100ML,
276,LAVENDER SOAP,,
277,NATURAL FACE WASH CHARCOAL,200ML,
278,COFFEE & COCOA SOAP,,
279,MORINGA SOAP,,MURUNGAI
280,HERBAL SOAP,,MOOLIGAI
281,NEEM & TURMERIC SOAP,,VEPPAN & MANJAL
282,ROSE SOAP,100 GM,
283,COCO & COFFEE SOAP,,
284,SHEA BUTTER SOAP,100 GM,
285,CANE SUGAR & ORANGE PEEL SOAP,100 GM,
286,SANDAL WOOD SOAP,100 GM,
287,CUCUMBER & ALOEVERA SOAP,,
288,ACTIVATED CHARCOAL SOAP,100 GM,
289,ALOEVERA SOAP,,
290,NEEM SOAP,100GM,
291,PAPAYA SOAP,100GM,
292,RED SANDAL SOAP,100GM,
293,SANDAL SOAP,100GM,
294,SAFFRON SOAP,100GM,
295,NEEM SOAP,100 GM,
296,EUCALYPTUS & PEPPERMENT BATH SALT,,
297,LAVENDER& BASIL BATH SALT,,
298,ROSE & GERANIUM BATH SALT,,
299,ORANGE & LEMON GRASS BATH SALT,,
300,REFRESHING LIME BATH SALT,,
301,CHARCOAL CREAM,,
302,CHARCOAL SCRUB,,
303,WALNUT SCRUB,,
304,APPRICOT SCRUB,,
305,PAPAYA SCRUB,,
306,MANICURE & PEDICURE SCRUB,,
307,ALMOND SCRUB,,
