index,name,weight,label
624,CURRY LEAF POWDER,100GM,KARUVEPPILAI PODI
625,HORSEGRAM POWDER,100GM,KOLLU PODI
626,AMLA POWDER,100GM,NELLIKAI  PODI
627,SESAME POWDER,100GM,ELLU PODI
628,MORINGA LEAF POWDER,100GM,MURUNGAI ILAI  PODI
629,GARLIC POWDER,100GM,POONDU PODI
630,IDLY CHILLI POWDER,100GM,IDLI PODI
631,MUDAKATTHAN THOKKU,200GM,
632,DRY GINGER PALM JAGGERY,,SUKKU KARUPATTI
633,ENERGY BALLS,150 GM,
634,PISTA GREEN,,
635,ALGERIAN BROWN DATES,,UNPACKED
636,BUTTER UNSALTED,100GM,VENNAI
637,MUMTAZ FIG PACKET,,
638,MIXED DRY FRIUTS BOX,,
639,HERBAL MOSQUITO REPELLENT INCENSE STICKS,,
640,SMALL ELEPHANT YAM,,PIDIKARANAI
641,COW GHEE,200 ML,PASU NEI
642,DRY CHILLI,,VARA MILAGAI
643,PALM JAGGERY,,PANA KARUPATTI
644,HIMALAYAN SALT POWDER,,INDHU UPPU THOOL
645,DRY GINGER,,SUKKU
646,COW BUTTER,,PASU VENNAI
647,GROUNDNUT  SEED,250 GM,NAATU NILA KADALAI
648,DRY APRICOT,,
649,TURMERIC POWDER,100 GM,MANJAL THOOL
650,SESAME BALLS,100GM,ELLU URUNDAI
651,W BROWN 1/4,01 L,
652,W BROWN,02 L,
653,W BROWN,03 L,
654,04 APPLE BROWN,,
655,W BROWN,05 L,
656,W BROWN,06 L,
657,W BROWN,07 L,
658,UDO,08 L,1/4NO
659,UDO,09 L,1/2 NO
660,10 HANDI,,
661,11 HANDI,,
662,12 MUSHAL HANDI,,
663,13 SMILE JAR,,M
664,14 SMILE JAR,,BIG
665,15 BORA,,SMALL
666,16 BORA,,MEDIUM
667,17 BORA,,BIG
668,18 MATKA,,S
669,19 MATKA,,M
670,20 MATKA,,B
671,21 MAT BAR,,1.5KG
672,22 MAT BAR,,2 KG
673,23 BROAD MOUTH JAR,,
674,24 COLOUR JAR,,2KG
675,25 JILABI HANDI,,
676,26 JILABI,,S
677,27 JILABI,,M
678,28 JILABI,,B
679,30 NISSAN JAR,,
680,31 HANDI + MATHINI,,
681,32 JEERA JAR,,NO. 02
682,33 SQUARE NO. 12,,
683,34 SQUARE NO. 17,,
684,35 SQUARE NO. 25,,
685,36 SQUARE NO. 26,,
686,37 SQUARE NO. 13,,
687,38 SQUARE NO. 14,,
688,39 SQUARE NO.1,,
689,40 MUSHAL SQUARE,,S
690,41 MUSHAL SQUARE,,M
691,42 MUSHAL SQUARE 1KG,,
692,43 MUSHAL SQUARE 2KG,,
693,44 ROUND JAR,,S
694,45 ROUND JAR,,M
695,46 ROUND JAR,,1KG
696,47 ROUND JAR,,2 KG
697,48 COFFEE SET,,
698,49 OIL CAN,,S
699,50 OIL CAN,,M
700,51 OIL CAN,,B
701,52 PEPPER SALT,,
702,53 SPOON REST,,
703,54 SMALL BASKET,,
704,55 MEDIUM BASKET,,
705,56 CHINESE JAR,,s
706,57 CHINESE JAR,,M
707,58 CHINESE JAR,,B
708,59 1 KG LIVA JAR,,
709,60 SUN SHINE BABY SET,,
710,61 HAND WASH,,
711,64 CHUTNEY KATTORI,,
712,65 CC NO. 1,,
713,66 CC NO. 2,,
714,67 CC NO. 3,,
715,68 CC NO. 4,,
716,69 CC NO. 5,,
717,70 MUGHAL SQUARE JAR,,1*12
718,71 MUGHAL SQUARE JAR,,1*8
719,72 MUGHAL SQUARE JAR,,1*4
720,73 2 PCS PICKEL,,
721,74 2PCS W/MAT,,
722,75 3PCS W/MAT,,
723,76 WATER JUG,,NO. 16
724,77 WATER JUG,,NO. 09
725,78 FLING,,
726,79 OCCASSION,,
727,80 ROYAL PARADISE,,
728,81 DRINK HUB,,
729,82 CHAI BAR,,
730,83 INVITATION,,
731,84 PLAIN TAWA,,
732,85 JALI TAWA,,
733,86 10 INCH PLATE,,
734,87 8 INCH PLATE,,
735,88 DH ITRE,3 L,
736,89 DH ITRE,4 L,
737,90 H 3PCS,,
738,91 M 3PCS,,
739,92 TRAY JUG SET,,
740,93 SMALL FRY PAN,,
741,ARGE FRY PAN,94 L,
742,95 COOKER ITRE,3 L,
743,96 MATKA IT,11 L,
744,97 P3 WITHOUT,,ST
745,98 P3 WITH STAND,,
746,99 JUG,,
747,6,100 G,
748,101 C6,,
749,102 8D02 MUG,,
750,103 HANDI TERROCOTA,,B
751,104 HANDI,,S
752,EORGEOUS,105 G,
753,106 EVERYDAY,,
754,107 CAMPTY,,
755,108 SEASON TREAT,,
756,109 SWEET SASSY,,
757,REEN TEA,110 G,
758,111 HAUDI IT,5 L,
759,112 D.H.3,,
760,113 D.H.2.5,,
761,114 WATER DISPENSER,,
762,AK MALAI PANEER,,
763,FOXTAIL RIBBON PAKODA,200 GM,THINAI
764,MAPILLAI SAMBA AVAL MIXER,200 GM,
765,KODO MILLET MIXER,200 GM,VARAGU
766,MAPILLAI SAMBA MURUKKU,200 GM,
767,LITTLE MILLET MURUKKU,200 GM,SAAMAI
768,COCONUT MILK MURUKKU,200 GM,THENGAI
769,LITTLE MILLET GARLIC  MURUKKU,200 GM,SAAMAI
770,KODO  MILLET MURUKKU,200 GM,VARAGU
771,FOXTAIL MILLET  MURUKKU,200 GM,THINAI
772,PEARL MILLET MIXTURE,200 GM,KAMBU
773,SOYA CHUNKS,,Meal Maker
774,Big Brinjal,,OODHA KATHIRI KAI
775,KODO MILLET,500 GM,VARAGU
776,JAMUN HONEY,150GM,
777,SUNFLOWER HONEY,150GM,SOORIYAGANDHI
778,MUSTARD HONEY,150 GM,KADUGU
779,TULSI HONEY,150 GM,
780,ACACIA HONEY,150 GM,KARUVELA
781,SUN DRIED BALLS,100GM,THALIPPU VADAGAM
782,VADA DHAL,250 GM,PARUPPU
783,HERBAL COUNTRY SUGAR,,MOOLIGAI NATTU SARKARAI
784,KODO MILLET SEMIYA,180GM,VARAGU
785,DRUMSTICK SEMIYA,180GM,MURUNGAI
786,BARNYARD VERMICELLI,,KUTHIRAI VAALI
787,WHITE POHA,250GM,thin
788,RED RICE POHA,250GM,thick
789,WHITE SORAHUM  RAVA,400GM,VELLAI SOLAM
790,KODO MILLET RAVA,400GM,VARAGU
791,MILLET CHIKKIES,70GM,SIRUTHAANIYAM
792,BARNYARD  MILLET COOKIES,100GM,KUTHIRAI VAALI
793,CUSTARD APPLE,,SEETHA PALAM
794,KARUPPU KAVUNI DOSAI READY MIX,500GM,
795,TURMERIC POWDER,,MANJAL THOOL
796,Cocoa Lip Balm,,HERBAL
797,ROSE & SAFFRON FACE PACK,100GM,HERBAL
798,Rose and Mulethi Face pack,,HERBAL
799,KUPAIMENI   SOAP,100 GM,HERBAL
800,MANJISTHA SOAP,100 GM,HERBAL
801,VETIVER  SOAP,100 GM,HERBAL
802,ROSE  SOAP,100 GM,HERBAL
803,AVARAMPOO  SOAP,100 GM,HERBAL
804,KASTURI MANJAL SOAP,100 GM,HERBAL
805,ORANGE  SOAP,100 GM,HERBAL
806,CHARCOAL  SOAP,100 GM,F2B
807,PAPAYA SOAP,100 GM,HERBAL
808,COCOA FACE PACK,50 GM,HERBAL
809,SAFFRON GEL,50 GM,HERBAL
810,LOOFAH,,PEERKANGAI NAAR
811,FRESH GROUNDNUT,,PACHAKADALAI KAI
812,COUNTRY GARLIC,,
813,COUNTRY CASHEW NUT,100 GM,NAATU MUNDIRI
814,PAASI PARUPPU,500GM,RAIN FALL YIELD
815,AK CHEDDAR CHEESE SLICES,100 G,
816,RIDGE GOURD,,PEERKAN KAI
817,Yellow Raisin,,ULAR THIRATCHAI
818,WALNUT,100 GM,
819,PASI PAYIRU,250 GM,RAIN FALL YIELD
820,KASURI METHI,25 GM,VENTHAYA KEERAI
821,SAPPAN WOOD,50 GM,PATHIMUGAM
822,LONG PEPPER,,THIPPILI
823,SANDAL WOOD,,SANDHANA KATTAI
824,BLACK RAISINS SEEDLESS,,KARUPPU ULAR THIRATCHAI
825,CUMIN SEEDS,,SEERAGAM
826,MAKHANA,,THAMARAI VIDHAI
827,SESAME OIL,500ML,PALM JAGGERY
828,SESAME OIL,,PALM JAGGERY
829,NEEM OIL,100ML,VEPPENNAI
830,MUDAKATHAN  PODI,100GM,
831,BUFFALO BUTTER,250 GM,ERUMAI VENNAI
832,WHEAT FLOUR,,GOTHUMAI MAAVU
833,BRIDEGROOM FLOUR,250GM,MAPPILAI SAMBA
834,JUST MOP FLOOR CLEANER,500ML,
835,BARNYARD FLOUR,,KUTHIRAI VAALI MAAVU
836,EMPEROR'S RICE FLOUR,250 GM,KARUPPU KAVUNI
837,LITTLE MILLET PONGAL MIX,,SAAMAI
838,KOVAI ILLAI KARUVEPILLAI THOKKU,200GM,
839,PLANTAIN FLOWER THOKKU,200GM,VAALAI POO
840,ELEPHANT FOOT YAM,200 GM,KARUNAI KELANGU
841,TOMATO THOKKU,200GM,THAKKALI
842,MANGO GINGER THOKKU,200GM,MAA INJI
843,KASTHURI MANJAL,,
844,MOSCUP,,
845,SAPOTA,,
846,SAMBAR CHILLI POWDER,100GM,KULAMBU MILAGAI THOOL
847,FIELD BEANS,,MOCHAI AVARAI
848,INDIAN PENNYWORT POWDER,50 GM,VALLARAI
849,CLOVE,,KIRAMBU
850,PROSO  MILLET FLOUR,250 GM,PANI VARAGU MAAVU
851,MAPILLAI SAMBA RICE,,
852,YELLOW CUCUMBER,,DOSAKAI
853,WHITE SOLAM POHA,250GM,VELLAI SOLAM AVAL
854,Crown Dates,500GM,
855,FOX TAIL FLOUR,250GM,THINAI MAAVU
856,FENUGREEK,200GM,VENTHAYAM
857,COCONUT  POWDER,100 GM,THENGAI  PODI
858,EUCALYPTUS HONEY,150 GM,
859,EUCALYPTUS HONEY,350 GM,
860,TULSI HONEY,350 GM,
861,JAMUN HONEY,,NAVAL
862,MILLATINO,90 GM,
863,FOXTAIL MILLET COOKIES,100GM,THINAI
864,RED RICE  FLOUR,250 GM,SIVAPPU ARISI MAAVU
865,AK PIZZA CHEESE,,
866,AK YOGURT MANGO,90 G,
867,AK YOGURT PLAIN,90 G,
868,AK  BUTTER,,SALTED
869,CASTOR OIL,500 ML,VELAKKENNAI
870,DESI PEARL FLOUR,250 GM,NAATU KAMBU MAAVU
871,IDIYAPPAM FLOUR,500GM,
872,SESAME OIL,500 ML,SUGARCANE JAGGERY
873,SESAME OIL,,SUGARCANE JAGGERY
874,BAY LEAF,,BIRIYANI LEAF
875,PUFFED RICE,100 GM,PORI
876,FACIAL POWDER,60GM,
877,RED GUAVA,,SIVAPPU KOYYA
878,CUCUMBER COUNTRY,,NAATU VELLARI
879,ROASTED PEANUT,100 GM,VARUTTHA NILAKADALAI
880,SH : WHOLE WHEAT FLOUR,,GOTHUMAI MAAVU
881,KIDS BAMBOO TOOTH BRUSH,,BLUE
882,KIDS BAMBOO TOOTH BRUSH,,PINK
883,KULIYAL POWDER,100GM,
884,TOOTH POWDER,50GM,KOVARSHINI
885,KUNGUMAM,30GM,
886,NATURAL MALISH OIL,100ML,KOVARSHINI
887,DHOOP,40 GM,
888,BAMBOO TOOTH BRUSH,2 G,BUY ET 1
889,BAMBOO TONGUE CLEANER,,
890,WHITE PUMPKIN,,VELLAI POOSINI
891,RICE POHA,250GM,MAPILLAI SAMBA AVAL
892,TURMERIC POWDER,130 GM,MANJAL THOOL
893,SMALL BEANS,,KARAMANI
894,BAMBOO FIBRE BRISTLE,,TOOTH BRUSH
895,CHARCOAL INFUSED BRISTLE,,TOOTH BRUSH
896,RAW TOMATO,,PACHA THAKKALI
897,SANDALWOOD STONE,,SANDHANA KAL
898,TAMARIND,,PULI
899,TAMARIND,,PULI
900,WHEEL VADAGAM,100GM,
901,HORSE GRAM,500GM,KOLLU
902,MUFFINS,,
903,BRIDEGROOM BROWNIE,,MAPPILAISAMBA
904,COOKIES,,
905,HOMEMADE ICE CREAM,,
906,MINICREAM BUN,,
907,PANJAGAVIYA VILAKKU,,KOVARSHINI
908,TENDER COCONUT,,ILA NEER
909,SUGARCANE JUICE,,KARUMBU PAAL
910,NECTRAW  BOTTLE,,PADHANEER
911,PAPAYA,,PAPPALI
912,GROUNDNUT,,NAATU NILAKADALAI
913,TINY PALM JAGGERY,,KARUPATTI
914,MUSTARD OIL,250 ML,KADUGU ENNAI
915,WHITE URAD DAL,,MOTTU ULUNDHU
916,MANVILAKKU,,DESIGN
917,MILLET HEALTH MIX,250GM,SIRUTHAANIYA SATTHU MAAVU
918,HEALTH MIX,,SATTHU MAAVU
919,MILLET HEALTH MIX,,SIRUTHAANIYA SATTHU MAAVU
920,JUJUBE POWDER,,ELANDHAI PODI
921,JUJUBESEEDLESS,,ELANDHAVADAI
922,JUJUBE SEED,,ELANDHAI
923,PANEER BITTER GUARD,,SIRU PAAVA KAI
924,KAIKUTHAL RAW RICE,,
925,Ginger candy,,
926,COCONUT JAGGERY BALLS,,
927,PEANUT CANDY,,GRINDED
928,BLACK SESAME BALLS,100G,
929,GROUNDNUT BALLS,100G,
930,SAYAN DATES BLACK,,
931,WHITE SESAME BALLS,,
932,BLACK RAISIN SEEDLESS,100G,
933,PEARL MILLET SEMIYA,,KAMBU
934,MULTI MILLET VERMICELLI,180GM,
935,RED RICE VERMICELLI,180 GM,
936,LITTLE MILLET NOODLES,180 G,
937,BUTTER UNSALTED,200G,
938,TABLE BUTTER,100G,SALTED
939,JAGGERY POWDER,500G,
940,KHANDSARI SUGAR,500G,
941,MOS RELIEF VAPORIZER,,
942,KASHMIRI MILAGAI,100G,
943,OMAM,100GM,
944,MUSTARD HONEY,350 GM,
945,ACACIA HONEY,350 GM,
946,SESAME HONEY,350 GM,
947,SUNFLOWER HONEY,350 GM,
948,BERRY HONEY,150 GM,
949,ROSE WOOD HONEY,150 GM,
950,LITCHI HONEY,150 GM,
951,FOREST HONEY,150 GM,
952,MADU MULZHUINGI MURUKKU,250 GM,
953,RATHASAALI MURUKKU,,
954,THAMARAI THIRI,,
955,GREEN THIRI,,
956,WHITE THIRI,,
957,HERBAL ROOM DISINFECTANT,,LEMON
958,HERBAL ANT REPELLENT,,
959,HERBAL TERMITE REPELLENT,,
960,AYURVEDIC MOSQUITO REPELLENT ROOM SPRAY,,
961,HERBAL LIZARD REPELLENT,100ML,
962,AYURVEDIC RAT REPELLENT,200ML,(
963,AYURVEDIC ANT REPELLENT,200ML,
964,WHITE PEPPER,50 GM,
965,HERBAL MOSQUITO VAPOURIZER,,
966,VELLAI SOLA FLOUR,250G,
967,KULASAMAI FLOUR,250G,
968,SAMAI FLOUR,250G,
969,THUVARAI PARUPPU,,
970,SUNDAKAI,,
971,BLACK RICE NOODLES,180G,
972,WHEAT BREAD,,SMALL
973,WHEAT BREAD,,MEDIUM
974,WHEAT MILLET PASTA,180GM,GOTHUMAI
975,YOLO EGGS,,
976,PAASI PARUPPU LADOO,,
977,SESAME LADOO,150 GM,
978,KARUPPU KAVUNI LADOO,,
979,THINAI LADOO,,
980,KAMBU LADOO,,
981,RAVA BUN,,LONG
982,RAVA BUN,,ROUND
983,RAVA BREAD,,MEDIUM
984,GROUNDNUT BALLS,,
985,SPICY MASALA GROUNDNUT,200 GM,
986,HAND POUNDED RICE NOODLES,180G,
987,LEMON GRASS ESSENTIAL OIL,15ML,
988,NAATHANGAI,,
989,MARUTHANI,,
990,KHANDSARI SUGAR,,1KG
991,WHEAT DALIYA,500G,(
992,RED POHA,,SH
993,SH : WHITE POHA,500G,
994,ONION THOKKU,200G,
995,VALLARAI THOKKU,200G,
996,HOME MADE CHOCOLATES,,
997,PAASI PARUPPU,250G,
998,Purple Cabbage,,
999,MAKKA CHOLA KURUNAI,500g,500g
1000,WHITE PEPPER POWDER,100G,
1001,GROUNDNUT OIL,5 L,ITRE
1002,PANNER GRAPES,,
1003,SPRING ONION,,
1004,CROWN DATES BLACK DATES,,Unpacked
1005,WHEAT ROUND BUN,80G,
1006,RAVA BREAD,,SMALL
1007,BREAD WHOLE WHEAT,,
1008,EGG WHITE 6ps Eggs,,
1009,GOAT MILK SOAP,100G,
1010,ROYAL UBTAN POWDER,100GM,
1011,BOYS BATHING POWDER,50GM,
1012,WHEAT BUN,,LONG
1013,RAW GREENPEAS,,
1014,RAGI FLOUR,,1 KG
1015,GROUNDNUT,,NILAKADALAI
1016,ROASTED & SALTED PISTACHIOS,100G,
1017,THRIPALA POWDER,50GM,
1018,KUPPAIMENI POWDER,50GM,
1019,GARLIC PICKLE,200 gm,200 gm
1020,KARUPPU KAVUNI RICE KANJI MIX,250G,
1021,CHRISTMAS MAT CAKE,,
1022,PAASI PAYIRU,500 GM,
1023,KIDS TOOTH BRUSH,,A
1024,NATURE DROP HERBAL DISHWASHER,500ML,
1025,CURRY MASALA,150 GM,
1026,CHRISTMAS CAKE SMALL,,JOWAR
1027,PEARL MILLET DOSA MIX,600 GM,S
1028,FINGER MILLET IDLY & DOSA BATTER,600GM,S
1029,BARNYARD MILLET IDLY & DOSA BATTER,600GM,S
1030,PEANUT SWEET BAR,,
1031,NAATU NILAKADALAI BALLS,150GM,
1032,NAATU NILAKADALAI BALLS,300GM,
1033,RAGI FRUIT CAKE,,MINI
1034,RAGI FRUIT CAKE,,SMALL
1035,ATHIRASAM,150 GM,
1036,PAASI PARUPPU URUNDAI,150GM,
1037,TN ROSE RICE,,
1038,AK DOSA BATTER,750 GM,
1039,RASTHALI BANANA,,
1040,RATHASALI RICE 1 KG,,
1041,BROWN EGGS PIECES BOX,,6
1042,lemon pickle 200gm,200gm,
1043,dhanyam batter 1 kg,,
1044,ATHIRASAM,300 GM,
1045,NAATU GROUNDNUT OIL,1L,
1046,GREEN SEED PENCIL,,
1047,NEWS PAPER SEED PENCIL,,
1048,SEED PEN,,
1049,THOOYAMALLI AVUL LADOO,150 GM,
1050,KULAMBU MILAGAI THOOL,150 GM,
1051,nectraw,,justin
1052,PANA KELANGU,,
1053,CURRY LEAVES,,
1054,POONGAR POHA,250 GM,POONGAR RICE AVAL
1055,VARA MILAGAI,100 GM,
1056,MORINGA SERUM,100 ML,
1057,ABC MALT,,
1058,SHIKAKAI POWDER,200 GM,
1059,KOVARSHINI NATURAL SHAMPOO,180 ML,
1060,KOVARSHINI MOSQUITO STICKS,,
1061,RED CHILLI VADAGAM,100 GM,
1062,KADALAI PARUPPU,250 GM,RAINFALL YIELD
1063,PAASI PARUPPU,250 GM,NAATU
1064,BASKET,,
1065,KARUPPU KAVUNI LADOO,150 GM,
1066,SESAME LADOO,300 GM,
1067,KAMBU LADOO,150 GM,
1068,FRUITS GIFT BASKET,,
1069,FIG IDLY PODI MIX,100G,
1070,KATTUYANAM AVUL,250 GM,
1071,RAGI,500 GM,
1072,BEE POLLEN,100 GM,
1073,mudavatukal kelangu,,
1074,ABC MALT,200 GM,FARM2BAG
